trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
632,16:44:00,16:44:00,70262,23,,0,0,75448.72622223,1
634,15:55:00,15:55:00,70012,1,,0,0,0.00000000,1
634,16:00:00,16:00:00,70022,2,,0,0,2521.94934933,1
634,16:04:00,16:04:00,70032,3,,0,0,7940.93034485,1
634,16:10:00,16:10:00,70042,4,,0,0,14613.27361600,1
634,16:13:00,16:13:00,70052,5,,0,0,17657.01202032,1
634,16:16:00,16:16:00,70062,6,,0,0,21733.69455401,1
634,16:19:00,16:19:00,70072,7,,0,0,24282.86652629,1
634,16:21:00,16:21:00,70082,8,,0,0,26043.38507674,1
634,16:24:00,16:24:00,70092,9,,0,0,28350.06083383,1
634,16:26:00,16:26:00,70102,10,,0,0,30499.05295888,1
634,16:29:00,16:29:00,70112,11,,0,0,31865.93060020,1
634,16:32:00,16:32:00,70122,12,,0,0,35199.25076625,1
634,16:34:00,16:34:00,70132,13,,0,0,37194.42283627,1
634,16:38:00,16:38:00,70142,14,,0,0,40687.04095794,1
634,16:42:00,16:42:00,70162,15,,0,0,46287.60767013,1
634,16:46:00,16:46:00,70172,16,,0,0,48298.98998482,1
634,16:49:00,16:49:00,70192,17,,0,0,50847.25988960,1
634,16:52:00,16:52:00,70202,18,,0,0,54786.94500055,1
634,16:55:00,16:55:00,70212,19,,0,0,57895.35927592,1
634,16:59:00,16:59:00,70222,20,,0,0,62207.87669606,1
634,17:03:00,17:03:00,70232,21,,0,0,65397.82046951,1
634,17:07:00,17:07:00,70242,22,,0,0,71287.50060100,1
634,17:15:00,17:15:00,70262,23,,0,0,75448.72622223,1
636,16:25:00,16:25:00,70012,1,,0,0,0.00000000,1
636,16:30:00,16:30:00,70022,2,,0,0,2521.94934933,1
636,16:34:00,16:34:00,70032,3,,0,0,7940.93034485,1
636,16:40:00,16:40:00,70042,4,,0,0,14613.27361600,1
636,16:43:00,16:43:00,70052,5,,0,0,17657.01202032,1
636,16:46:00,16:46:00,70062,6,,0,0,21733.69455401,1
636,16:49:00,16:49:00,70072,7,,0,0,24282.86652629,1
636,16:51:00,16:51:00,70082,8,,0,0,26043.38507674,1
636,16:54:00,16:54:00,70092,9,,0,0,28350.06083383,1
